Index,Original_Text,Option 1,Option 2,Original Mean Score,Flipped Mean Score
10,"male macroprolactinomas ( mprl ) are usually revealed by headaches , visual troubles and gonadal insufficiency . suppurative meningitis ( sm ) , a life - threatening condition , is scarcely observed in subjects with macro tumors secreting prolactin ( prl ) and in other pituitary tumors ( pt ) . however , in some very rare cases it can be a primary presentation or appear after radiotherapy or medical treatment used for tumors destroying the sellar floor and/or the skull base . this destruction leads to cerebral spinal fluid ( csf ) leak , which can act as an entry portal for organisms predisposing to meningitis . our aim was to analyze sm frequency among male mprl deemed to be very invasive tumors , to report our cases and analyze the circumstances under which the dangerous neurological complication appeared .","menitis is rare, especially male lactomas. mi is the of of  large and invasive tumor, the  ofa of the most of cases meningis secondary   to t  tumor  our  4 cases  are  case  and our are the case ofsm in  malempll  we  the thes of patients  withtt, s  menis",", the t was a very large and invasive tumor, which was in the of thea of m. sm is the most common of menit and menis, in which the tumor is ed to the surface, and the size of tumor was decreased. them was witha large size, that was not able to be d by pl, but thes was of size and size. in case ofm, ",2.0,1.0
11,many studies have not been reported in literature for lumbar discectomy by destandau endospine system . we report a series of 300 patients operated for lumbar dissectomy by destandau endospine system . a total of 300 patients suffering from lumbar disc herniations were operated between january 2002 and december 2008 . technique comprised localization of symptomatic level followed by insertion of an endospine system devise through a 15 mm skin and fascial incision . endoscopic discectomy is then carried out by conventional micro disc surgery instruments by minimal invasive route .,"endoscopic disc (d  is  surgical of lum disc  performed endally. the ofose technique  the endoe system, theoo, andoa are used  to the  of of disc and discs. o   disc is the most of surgical in oflum  and s  patients. in present  we  report  300 patients with bar disc heri  from l-s","a series of patients with lum disc heriations were operated betweenjanary 2002 and deember 2008. the results of the study were as follows: -, s,, and, the of of os and es of discs were d in patients who were to the end of endopine system, which was used for the treatment oflum nia andsaas in the i ofa disc ",2.0,1.0
12,"medical tourism is illustrated as occurrence in which individuals travel abroad to receive healthcare services ( 1 ) . it is a multi - billion dollar industry and countries like india , thailand , singapore , malaysia , belgium , costa rica , cuba , dubai , hungary , israel , jordan , south africa and many others are being benefited in their economy by this recent phenomenon ( 2 , 3 ) . the prime driving factors in medical tourism are increased medical costs , increased insurance premiums , increasing number of uninsured or partially insured individuals in developed countries , long waiting lists for procedures in countries having public healthcare system , availability of high quality services at affordable price , and cheaper airfare . increased communication and internet access in developing countries
are other supporting factors , which help patients to develop awareness about international travel for medical care ( 47 ) . estimations can vary but still some of reliable sources claim ; gross medical tourism revenue worldwide was more than us$ 40 billion in year 2004 and reached up to us$ 100 billion by year 2012 ( 8) .","(  )  the of of tourism  is the  of image of  destination  and the to of destination is  factor  which influence decision of patients  this is in the field of health  tourism.  in  study, sa aa and ba are the for of medical tourism, the is of the image  as  picture the individuals their in their  mind  to the destination and their to destination. in this,","in the early studies on travel, researchers used the concept stereoic image of a destination (67,68 ) and later on, the authors used concept of stereo image to describe the image and the characteristics of image. in literature, there are many studies that have been conducted to the of of medical tourism, and s of the e of tourism in countries such as india, china, i, india and other countries, which are in developing countries and have the",2.0,1.6
13,"squamous cell carcinoma of the head and neck ( hnscc ) is a heterogeneous disease that includes tumors arising from the mucosal epithelial surface of the oral cavity , oropharynx , hypopharynx , and larynx . although these tumors originate within different anatomic sites within the upper aerodigestive tract , they are histologically identical ( 95% of hnscc are squamous cell carcinomas ) , share common etiologic risk factors and overlapping metastatic target site profiles ( reviewed in [ 13 ] ) . recent genetic analysis of human head and neck tumors has revealed common molecular alterations including p53 mutation , p14arf , and p16 methylation , as well as cyclin d and egfr amplification [ 36 ] . despite these similarities ,
the distinct anatomic subsites are associated with differing rates of regional metastasis  for example , vocal cord lesions tend to metastasize less frequently than oropharyngeal or hypopharyngeal lesions . this variation may be attributed to differing densities of lymph draining vessels within each of the relevant subsites .","sous cell carcinoma the head and neck is the most common of cancers. smous cells are the primary of tumor in the and and of the  and head  neck   tumors, and are associated metsis  metis and astais. the of of tk in nscc is  complex  with multiple ing  pathways, including gr  signaling, k,","a randomized phaseib, four- arm, open- label study recently the of iimab in combination with chemotherapy has been reported to improve response and survival in patients with head and neck smous cell. the ef - receptor (fr) is family of receptors that are involved in the regulation of cell proliferation and differentiation, and tks are known to be important for the control of tumors and are associated with",2.0,2.0
14,"this in vitro study was conducted in the chemistry and biochemistry institute , university of veterinary medicine , vienna , austria between june and august 2013 in accordance with the guidelines of the european union council ( 86/609/eu ) for the use of laboratory animals . the work does not require approval from the ethics committee as it used mouse embryos under the fifteenth day of gestation . primary mesencephalic cell cultures were prepared from c57/b16 embryos according to radad et al.10 to summarize , embryonic mouse mesencephala were dissected on the fourteenth day of gestation and cut into small pieces in a drop of dulbecco s phosphate - buffered saline ( dpbs ) ( invitrogen , darmstadt , germany ) , 2 ml of 0.2% trypsin solution ( invitrogen , darmstadt , germany ) and 2 ml of 0.02% dnase i solution ( roche , berlin , germany ) were added and the tissue was subsequently incubated in a water bath at 37c for 7 minutes ( min ) . then , 2 ml of trypsin inhibitor ( 0.125mg / ml ) ( invitrogen , darmstadt , germany ) were added , the tissue was centrifuged at 100 g for 4 min and the supernatant was aspirated ."," in vitro  sence cells were from 57/b16 embryos. to summarize, cells disated ina drop dubecos modifiedegle  medium (dmm) were incubated in  water bath 37c for minutes (  min)  the medium was replaced every second  day. cs  cells  were with ms for 48  hours (h). the  ofs","The study was conducted in the chemistry and biochemistry institute, viena, austria betweenjun and august 2013 in accordance with the guidelines of the european council (86/609/eu ) the of a - e s, ds and bs, and the culture was with m ofdm ( ps). the cells were incubated in cs for 45 min atc, the medium was",2.0,1.0
15,"the femoral head often leads to healing complications , while the more predictable prosthetic replacements are associated with poorer function and significant complications . the treatment of these fractures depends on the age of the patient , fracture displacement , bone quality , timing of surgery and activity level of the patient .
displaced fractures in healthy , active patients are best treated by reduction and internal fixation . there are however , complications unique to femoral neck fractures which are almost impossible to predict . non - union and avascular necrosis
non - union usually can definitely diagnosed within a year of fracture fixation with the same being achieved within 3  months at times . after non - union has been established , intervention is inevitable .",. non  union of fracture offmoral neck is  common in elderly  the of e neck fractures. the  of neck of thefmur is commonly  with   fracture  non- union can be established within 1  year  this is due to technical  errors. our report a of of non union the fracture the neck the theemur the non of union at 2  years. we  present  case  our,"a 38-year old male reported to the out department of our hospital witha history of fall from height. clinical and radiological examination revealed displaced fracture of the neck of emur which was graded as garden 4 (fig. the patient was operated within 24 and the radiograph at 32 months depicting union anal reduction and rigid fix are the two important surgeon controlled factors that contribute to outcome. in young patients, if failure is due technical errors, revision reduction",2.0,2.0
16,"granuloma faciale ( gf ) is an uncommon , benign , inflammatory skin disorder of unknown etiology . it is characterized by single or multiple , grey - brown or violaceous nodules or plaques primarily occurring on the face and occasionally at extra - facial sites . the disease is notoriously resistant to therapies and often tends to relapse when treatment is discontinued . we present a patient with multiple lesions of gf and its response to topical tacrolimus . a 35-year - old female presented to our department with a 5 year history of single , asymptomatic , grey - brown pigmented , nodule over the left cheek [ figure 1 ] .",".granom facial (g   is  rare, benign,inflammatory disease of unknowneiology. we  present  patient with multiple les ofgranma faciale  and its response topicalrolimus. rolmus  has been used for treatment ofg for years. our presented  case a 35-year- old female presented to our department with  single, grey- brown nole over left cheek.","a 35-year- old female presented to our department witha 5 year history of multiple - brown noles or plaques over the cheek. cutaneous examination revealed, grey  brown or aceous nole with prominent esophils and ss intrate in the deris, and the t- cells of ff are infilrate of the skin and are associated with os  ando ins. in ",2.0,1.4
17,"chronic myelomonocytic leukaemia ( cmmol ) is a rare disease with an incidence of 0.370.72 per 100 000 population . the median age at diagnosis varies between 65 years and 75 years [ 14 ] . the radical treatment is allogeneic stem cell transplantation , although this treatment is unsuitable for most patients because of their advanced age [ 6 , 7 ] . the median survival of patients with cmmol is 1520 months [ 5 , 6 , 8 ] ."," cm is  rare  with  high incidence  the of acute blast crisis.a 68-year- old complained ofa reduced appetite for 5 months and weight loss during the previous 4   months. we  performed  surgical to the ined region in his mouth,  which was painful with continuous bleeding.  we the  patient  under localaesthesia  and local anesthesia, and performeda procedure the the ginge","a 68-year- old man complained of havinga reduced appetite and weight loss during the previous 4 months. on 12 may 2012, the patient was hospitalized in the department ofahi general for the evaluation of acuteic crisis cm. he was ed to the hospital for evaluation the of m and s, and on the day before the surgery, we placed ga withttrain azotam ( r ; t ",2.0,1.4
18,"in a recent issue of critical care , we presented a series of 13 patients undergoing post - cardiotomy extracorporeal membrane oxygenation ( ecmo ) with bivalirudin - based anticoagulation . after this series , we satisfactorily continued this experience , reaching about 20 patients treated . however , we think that a word of caution should be added to our recently published experience . owing to its pharmacological profile
, bivalirudin is rapidly cleaved by proteolytic enzymes , and its half - life is about 25 minutes when the renal function is normal . the use of bivalirudin for cardiopulmonary bypass ( cpb )   and ecmo   is a feasible option ."," biirud -  basedcoagul is  common in cardiopulmonary (cb)  andemo  patients. however, we think that the ofvalrud- antiation should  be replaced  the par-based heincoagulation, because its half- life is about  30  minutes. we, the authors, present the case of  patient  who  underwent pp  with c","owing to itscological profile, biirud is rapidlycled by protelytic enzymes, and its half- life is about 25 minutes when the renal function is normal. however, the use ofvalrud for pulmonary bypass (cb) andemo is feasible, we think that maintaining a partial co support, leaving minimal ofcardia blood flow, may be option, because the ia of sytolic function and the of",2.0,1.0
19,"global and regional left ventricular ( lv ) functions are well - known indicators of cardiac disease . quantitative values of ventricular volumes and of myocardial mass are independent predictors of morbidity and mortality in patients with coronary artery disease . classically , echo has been used to evaluate lv volume and function because it is relatively inexpensive and noninvasive . however ,
a component of operator dependence and poor contrast between blood and myocardium are considerable limitations of this technique . cardiac magnetic resonance imaging ( mri )
is considered the clinical  gold standard for lv function assessment , but it is expensive , of limited availability , and can not be performed in patients with implanted pacemakers or defibrillators .","volumetric t is  method to quantify volume in the leftricle. ct   isa technique  which  to the of the s andss of v  in ysle,syto, and ps  ofls are  for the assessment  volume and function thel f  ande fraction,  the volume tric inl andv in patients coronary  disease.","The present study was conducted to evaluate the v volume and function in patients who underwent coronary angography, and the results of the study were obtained by the use of a - d c t s m e rs and ls in the patients with o i n. the data was obtained using x-ray, p-s,s- andss with the of ofaa and",2.0,1.0
20,"moraxella catarrhalis is a gram - negative , aerobic diplococcus human mucosal pathogen which causes middle ear infections in infants and children [ 13 ] , and it is one of the three major causes of otitis media along with streptococcus pneumonia and haemophilus influenzae . although moraxella catarrhalis is frequently found as a commensal of the upper respiratory tract , recently it has emerged as a genuine pathogen and is now considered an important cause of upper respiratory tract infections in healthy children and elderly people , lower respiratory tract infections in adults with chronic obstructive pulmonary disease [ 1 , 5 ] , and hospital - acquired pneumonia . amikacin , cefixime , fosfomycin , cefuroxime , cotrimoxazole , doxycycline , and erythromycin resistant strains of moraxella catarrhalis were isolated and the widespread production of a -1actamase enzyme renders the bacterium resistant to the penicillin [ 79 ] . this has led to the search for new and effective therapeutic alternatives among natural compounds . plants remain an important source of diverse chemical entities which have been used as drugs or provide scaffolds from which new drugs have been derived .","aristoia breola (aa   is  plant  with  long history of use  has been used to the treatment of infections.alochi is an of plant which widely used inasia, africa, and san  countries. ristoa isa plant with the of of active  and antial  properties. the activity thea ofa fromarochii ( ea","The a - m s, n es, and ts were used in the treatment of oeas andaa and the ia of thea was used asa for the of ofae. thes was d with c r l ( b ) and was ined by pcs (cc) ; h-nr (s) (a)",1.0,1.0
21,"anti - neutrophil cytoplasmic antibodies ( ancas ) correlate well with a wide spectrum of vasculitis manifestations , including wegener 's granulomatosis , microscopic polyangiitis , and churg - strauss syndrome , all of which are commonly referred to as anca - associated vasculitis ( 1 ) . several infections , particularly infective endocarditis , have been reported to show positive findings on anca tests ; furthermore , their clinical features have been acknowledged to mimic anca - associated vasculitis , which may lead to a misdiagnosis and inappropriate treatment ( 2,3 ) . however , to our knowledge , infected aortic aneurysms have not been reported to show positive findings on anca tests . we herein report a patient with an infected thoracic aortic aneurysm mimicking anti - proteinase 3-antineutrophil cytoplasmic antibody ( pr3-anca)-associated vasculitis . vegetations in the descending aorta , which were detected using transesophageal echocardiography , contributed to the diagnosis in this case .","anca- associated vaculitis  is rare. the off  orticeursm is  rare  witha high of of  and  of-  level pr3-ca ter ( 3)  in  patient with f infection, the presence vegetations in theata are  common  feature.  we  present  case anfatic anym with positive an ca test,","The present report a case of inf tic ansm witha positive - anca level, which was in the normal range, and the presence of an- c- protein, p : e s t m. the of the os of ys and nss in d i  r l x g b h v  anda f-as",0.8,1.0
22,"endometriosis is a prevalent cause of infertility , pelvic pain , dysmenorrhea , and dyspareunia in reproductive - age women . its diagnosis is by inspection of the pelvis during laparoscopy . in women with pelvic pain and infertility ,
endometriosis mimics some autoimmune and malignant diseases , including familial occurrence and immunological abnormalities in b and t cells , increased angiogenesis , invasion of endometrial cells to adjacent organs ( e.g. , bladder and bowels ) , and need for repeat surgeries due to recurrence [ 1,57 ] . multiple mechanisms for etiology and improvement of endometriosis are suggested and the treatments are based on these unclear mechanisms . therefore , progestin , gnrh agonists and antagonists , and drugs related to lipid metabolism ( e.g. , simvastatin ) are used for treatment .","vitamind has  role inogenesis endmetrisis. vitamin d is   vitamin with  function in oos  and endois  the of ofoa ando s, and the  ofd  is in of the role the theo and ofa of a p  receptor, thed receptor  inaas. thes of vitamin and inmetriis in women.","d binding protein (dp) is plasma glycoprotein that moduls immune andinflammatory responses and also controls transport of vitamind and ss in a group of patients with endmetrisis, and the t test was used to compare the levels of -d, 25- hydroxy vitamin3 inoois in the group. in group, we ed the level ofd ins and in in groups, thed group was with ",2.0,1.4
23,"it is generally accepted that microleakage between the filling materials and root canal 
 walls might adversely affect the outcome of root canal treatment . therefore , it is critical the complete 
 sealing of the root canal system after cleaning and shaping in order to avoid the 
 bacterial penetration and re - infection of the root and periapical tissues . the association of gutta - percha cones 
 and root canal sealer has been traditionally used for this purpose . however , in the last 
 decade , the dentin adhesive technology has been incorporated into the root canal filling 
 techniques to reduce apical and coronal leakage by bonding to root canal walls . etch - and - rinse adhesives have been 
 tested with resin cements and the 
 combination of a dentin - bonding agent and an epoxy resin - based root canal sealer 
 significantly reduced apical leakage ."," thep microage and gap ofah plus  gutt- per cone and epiy were in the pical of root canals. the of of gap   was  inap and ical  of the canal  as  result theaical leakage  and gaps  were  by the in of h d s (hds), the gap was in between  1 and 2 mm","The study was conducted to evaluate the effect of pical microage on the formation of gaps in the root canal. the sm layer was used to fill the canal and the gap was determined by the use a - es ( c ), d (s) and t (a) the of thess ands ofs m ; b : i n o r l g ",2.0,1.2
24,"neonatal diabetes mellitus ( ndm ) presenting within the first 6 months of life includes permanent neonatal diabetes mellitus ( pndm ) , which require lifelong therapy , and transient neonatal diabetes mellitus ( tndm ) where the condition shows remission during infancy but relapses in adolescence . almost all cases of neonatal diabetes have monogenic etiology in contrast to the autoimmune diabetes presenting in children beyond 6 months of age . pndm is associated with defects in pancreatic beta cell development and function . activating mutations in the kcnj11 gene , encoding the subunit kir6.2 , and abcc8 gene ,
encoding the sulfonylurea receptor 1 ( sur1 ) of atp - sensitive potassium ( katp ) channel , which has a key role in insulin secretion in glucose metabolism , are the most common causes and account for approximately 40% of all cases of pndm12 ) . mutations in the glucokinase ( gck ) and insulin ( ins ) genes have also been reported in patients with pndm .","atal diabetes   is  rare  with ogenic tiology, and the of c-peptide can increase insulin secretion. we  present  case neona diabetes meitus (ndm) witha novel p.h186d heterogous mutation thekj11 gene,  which is common inaa  patients. nd isa ofogenici of diabetes, which in the  of","The results of the study suggest that the sulonlurea ( b ) is a type of diabetes that is associated with the development and of of insulin in the body, and that it is important to the control of glucose in patients with cn11 mutation, which is the most common mutation in ncj11. m - p l and d es i t o  y  and",2.0,1.0
